SleepDay,TotalMinutesAsleep,TotalTimeInBed
2021. 8. 5.,429,524
2021. 8. 4.,269,312
2021. 8. 3.,240,277
2021. 8. 2.,323,387
2021. 8. 1.,275,324
2021. 7. 31.,350,358
2021. 7. 30.,286,350
2021. 7. 29.,231,281
2021. 7. 28.,246,295
2021. 7. 27.,372,410
2021. 7. 26.,328,350
2021. 7. 25.,219,247
2021. 7. 24.,204,228
2021. 7. 23.,327,362
2021. 7. 22.,215,248
2021. 7. 21.,385,416
2021. 7. 20.,238,282
2021. 7. 19.,374,396
2021. 7. 18.,331,350
2021. 7. 17.,565,596
2021. 7. 16.,192,235
2021. 7. 15.,84,97
2021. 7. 14. ,126,142
2021. 7. 13. ,312,352
2021. 7. 12.,304,326
2021. 7. 11.,500,551
2021. 7. 10.,401,422
2021. 7. 8. ,431,480
2021. 7. 7.,355,421
2021. 7. 6.,513,553
